_id,words,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,timestamp
64b037b073193c702ea88086,another and child when however at help against feel open many year public form when part become new out this now way word call own state not follow without out,,121.6,95.65,126.4,72.61,"152,4,0,1",words,30,-1,2,15,1,5.84,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689270192000
64b0379573193c702ea87fab,new world down thing could still those few up large many down off tell up more own early become feel up how house and hand very move off consider way,,143.04,100,143.04,87.77,"149,0,0,0",words,30,-1,0,12.5,0,0,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689270165000
64b0378473193c702ea87f16,many of these hand back school go on nation each begin out change by eye and with large form there as a where change old how number stand which she,,122.28,94.04,134.14,68.63,"134,4,0,0",words,30,-1,0,13.15,0,0,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689270148000
64b0377173193c702ea87e8d,take because person he and give say well school place never because good as stand take house great use tell since very before last follow take little turn stand go,,129.02,97.02,129.02,70.46,"163,0,0,0",words,30,-1,0,15.16,0,0,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689270129000
64b0375873193c702ea87dcc,interest too open some as and from order real thing right be follow much go as say she any might then feel a find might play problem number head she,,115.62,95.33,123.06,74.8,"140,4,1,0",words,30,-1,0,14.53,0,0,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689270104000
64b0373373193c702ea87caa,large come keep course order consider to in want small than of too child with large think each which of they public set through know out begin but however because,,128.9,95.21,134.72,78.78,"155,2,0,0",words,30,-1,2,14.43,0,13.11,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689270067000
64b0365873193c702ea87664,write need like call such by of call child many thing keep line life end know move each it system play other last any at govern show problem mean such,,134.33,97.4,134.33,77.47,"150,0,0,0",words,30,-1,2,13.4,0,2.65,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689269848000
64b0364173193c702ea875b2,may such over they way but home while no into have she up late keep if change late you line life than great on like early only old might more,,142.54,97.92,142.54,85.14,"141,0,0,0",words,30,-1,0,11.87,0,0,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689269825000
64b0363073193c702ea87545,small world around public just general high ask few line increase into know well in program end number if man way year mean off without interest after no interest first,,137.77,98.21,142.88,74.29,"162,2,0,0",words,30,-1,4,14.11,0,7.4,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689269808000
64b0360873193c702ea87408,very do will after long all most do develop problem show group be than place both from face form interest make since same day which against then small thing be,,134.08,99.38,134.08,74.89,"159,0,0,0",words,30,-1,4,14.23,0,13.96,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689269768000
64b0356373193c702ea86f01,if may when people into last to then for which as never with face tell keep run may could would against lead must such you public keep such it about,,140.95,100,140.95,85.25,"148,0,0,0",words,30,-1,3,12.6,0,10.29,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689269603000
64b0354573193c702ea86e1b,through can the school thing to become old person it more well how they go down end still change public must have nation turn more ask use by call present,,113.83,90.36,123.45,77.47,"142,3,1,1",words,30,-1,4,14.97,0,25.95,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689269573000
64b0351473193c702ea86ca9,house old say into need want take keep very way even say however the group seem follow those fact most nation follow group fact those few no early little people,,134.73,96.25,143.71,74.44,"150,4,0,0",words,30,-1,2,13.36,0,3.03,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689269523000
64b0348c73193c702ea1b8bd,form late would now large open that fact still way both these by at keep old but show off system go make home seem people with other then ask there,,145.19,100,145.19,73.27,"147,0,0,0",words,30,-1,5,12.15,0,18.66,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689269388000
64b0346473193c702ea1b77e,too real do new head year off who but see mean group here take such this use here interest face lead again look consider think well by increase develop govern,,144.84,100,144.84,71.5,"158,0,0,0",words,30,-1,4,13.09,0,15.34,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689269348000
64b0343e73193c702ea1b642,lead year ask since end as come program word than here or feel off no such high state world small general govern how be another present in few other still,,138.54,96.75,147.13,83.52,"145,2,1,1",words,30,-1,5,12.56,0,32.13,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689269310000
64b033e773193c702ea1b369,place any thing get part you general get show still head consider life keep run a increase need or no without long people or problem from as number way where,,128.25,95.73,128.25,73.15,"157,0,0,0",words,30,-1,5,14.69,0,18.52,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689269223000
64b033b973193c702ea1b206,way little first early back around system like after there one under may down school develop time not own other find up life know present point where lead make long,,122.31,95.35,122.31,71.87,"164,0,0,0",words,30,-1,5,16.09,0,16.9,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689269177000
64b0339073193c702ea1b092,also fact possible hand old long even all as move show get against part could all since man good that from high more call world many get use could tell,,127.94,98.05,134.12,81.3,"145,0,1,0",words,30,-1,7,13.6,0,18.31,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689269136000
64b0334873193c702ea1ae14,should people these world and ask even or during do back own group under old if use while ask form here back little can very back day more general own,,125.15,96,138.04,72.35,"136,4,0,0",words,30,-1,7,13.04,0,37.46,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689269064000
64b0330973193c702ea1ac39,public interest what here go do year since last other another thing part hand make open new problem again you he lead become look late in any move than consider,,134.49,94.9,148.7,89.36,"142,5,0,3",words,30,-1,0,12.67,0,0,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689269001000
64b032f473193c702ea1ab94,present what point old never into interest late feel course turn so which say line follow this general he however program too line much want more however at out part,,129.66,94.55,151.72,70.75,"141,6,0,0",words,30,-1,3,13.05,0,15.54,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689268980000
64b032a473193c702ea1a8f6,get move plan small thing never want not she person course never word early where without in of one too lead line under same then house child life hand use,,127.15,95,136.87,71.51,"144,2,1,1",words,30,-1,11,13.59,0,47.36,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689268900000
