_id,words,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
64c5560f0726bb8041b6b2c2,windward nipper hierarchy jackrabbit pedigree kudu licit lungful formate falstaffian,,87.35,93.41,87.35,69.09,"84,0,0,0",words,10,,21,11.54,0,51.12,FALSE,FALSE,english_25k,none,normal,FALSE,FALSE,FALSE,,1690654223460
64c555a80726bb8041b6aff3,chode datholite cybernetic petal remount bridget wonderland subsidiary biographical galaxy,,99.04,93.41,117.04,79.47,"77,4,1,0",words,10,,13,9.33,0,51.26,FALSE,FALSE,english_25k,none,normal,FALSE,FALSE,FALSE,,1690654120814
64c555520726bb8041b6ad8a,adoring outdoor lineage hearse strasburg tierce optical dual depreciate tammy,,92.57,96.55,92.57,73.68,"83,0,0,0",words,10,,7,10.76,0,33.12,FALSE,FALSE,english_25k,none,normal,FALSE,FALSE,FALSE,,1690654034675
64c5551b0726bb8041b6ac1d,adoring outdoor lineage hearse strasburg tierce optical dual depreciate tammy,,105.36,100,105.36,76.51,"77,0,0,0",words,10,,4,8.77,0,2.62,FALSE,FALSE,english_25k,none,normal,FALSE,FALSE,FALSE,,1690653979713
64c555030726bb8041b6ab73,albumin computational masker artic rearward deprecate quincunx chrysanthemum contracting mislead,,90,94.95,98.28,66.83,"87,0,0,1",words,10,,20,11.6,0,56.19,FALSE,FALSE,english_25k,none,normal,FALSE,FALSE,FALSE,,1690653954993
64c554950726bb8041b6a884,thistle boreen zebadiah orally provencal codified ostia peroration ammonium lire,,85.41,95.29,85.41,64.73,"80,0,0,0",words,10,,7,11.24,0,22.71,FALSE,FALSE,english_25k,none,normal,FALSE,FALSE,FALSE,,1690653845883
64c554690726bb8041b6a743,cadge yuan sarcoma guano chorale stabbing acrobat muharram attributive fondle,,91.67,97.47,91.67,63.5,"77,0,0,0",words,10,,20,10.08,0,87.15,FALSE,FALSE,english_25k,none,normal,FALSE,FALSE,FALSE,,1690653801793
64c553f00726bb8041b6a3eb,inconsequentially proven gaseous obstetrician ejection zechariah coronation whiten unwound azymite,,85.16,97.06,85.16,61.54,"98,0,0,0",words,10,,3,13.81,0,3.08,FALSE,FALSE,english_25k,none,normal,FALSE,FALSE,FALSE,,1690653680573
64c553d80726bb8041b6a343,occidental stumble florin deplore imide impassive outgrown jejunum cohort inlet,,103.72,96.34,103.72,63.1,"79,0,0,0",words,10,,4,9.14,0,6.98,FALSE,FALSE,english_25k,none,normal,FALSE,FALSE,FALSE,,1690653656079
64c553100726bb8041afd484,byte carnation minuscule underestimate wassailing aberration collop gaiter obsessive corolla,,81.96,92.93,81.96,66.01,"92,0,0,0",words,10,-1,0,13.47,0,0,FALSE,FALSE,english_25k,none,normal,FALSE,FALSE,FALSE,,1690653456000
